Merk,Nama_Produk,Harga,Ratings,URL
Hush Puppies,Elissa Backpack,999000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Hush Puppies,Chick Backpack (M),1399000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Hush Puppies,Patty Tote (L),1399000,4.9,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Smiggle,Smiggle Beta Trolley Backpack With Light Up Wheels - IGL455787NAV,1799000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Smiggle,Smiggle Sonic The Hedgehog Classic Backpack - IGL456000CBL,1399000,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Hush Puppies,Sandros Messenger Bag,0,4.9,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Darlene Backpack L,1499000,5.0,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
ADIDAS,Adidas Womens Gym Backpack,800000,0.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Hush Puppies,Chick Backpack (M),1399000,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Hush Puppies,Ebba Backpack,999000,5.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Hush Puppies,Marly Backpack,1999000,0.0,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
Hush Puppies,Aiger Backpack (S),1199000,4.9,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Shell Backpack,999000,0.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Hush Puppies,Veron Backpack L,1399000,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Chick Backpack (L),1499000,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
Hush Puppies,Chick Backpack (L),1499000,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Hush Puppies,Darlene Backpack M,1399000,5.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Hush Puppies,Westie Backpack M,1399000,0.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Hush Puppies,Westie Backpack L,1499000,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Hush Puppies,Stanlee Backpack,999000,0.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
Hush Puppies,Elissa Backpack,999000,5.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
Hush Puppies,Laurent Backpack,1199000,5.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Hush Puppies,Darlene Backpack M,1399000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Hush Puppies,Millie Backpack,2999000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Hush Puppies,Sunny Backpack,999000,5.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
Hush Puppies,Owen Backpack,2599000,0.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
ADIDAS,Small Adicolor Classic Backpack,1500000,5.0,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
Hush Puppies,Dava Backpack,1299000,5.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
Hush Puppies,Veron Backpack M,1299000,5.0,/
Hush Puppies,Westie Backpack L,1499000,5.0,https://www.zalora.co.id/categories
Hush Puppies,Westie Backpack M,1399000,0.0,https://www.zalora.co.id/cart
Hush Puppies,Lawrence Backpack,2599000,0.0,https://www.zalora.co.id/wishlist
Hush Puppies,Aiger Backpack (M),1299000,4.7,/customer/account/index
Hush Puppies,Aiger Backpack (S),1199000,5.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
Hush Puppies,Westie Backpack L,1499000,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
Hush Puppies,Veron Backpack M,1299000,5.0,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Under Armour,Undeniable Signature Duffle Bag,0,4.8,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
ADIDAS,Gym High-Intensity Pouch,500000,4.9,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Hush Puppies,Chick Backpack (L),1499000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
Hush Puppies,Owen Backpack,2599000,0.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
Hush Puppies,Aiger Backpack (M),1299000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
ADIDAS,essentials linear duffel bag medium,580000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Hush Puppies,Westie Backpack L,1499000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Hush Puppies,Mia Clutch,2399000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
ADIDAS,Gym High-Intensity Pouch,500000,4.9,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Nike,Brasilia Kids' Backpack (18L),0,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
LONGCHAMP,Le Pliage City M Tote Bag (tr),6329000,0.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Oline Tote,1199000,4.9,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Hush Puppies,Skippy Waist Bag,799000,5.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Hush Puppies,Sandros Messenger Bag,799000,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Hush Puppies,Oline Tote,1199000,5.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Under Armour,UA Undeniable 5.0 Duffle MD Bag,899000,4.9,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
ADIDAS,Classic Foundation Waist Bag,300000,5.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Lauren,Danni Crosshatch Medium Shoulder Bag 26 (cq),5739000,0.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Hush Puppies,Pino Messenger Bag,2399000,0.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Coccinelle,Eclyps Medium Shoulder Bag,9496000,0.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
Hush Puppies,Sienna Hobo M,1199000,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Hush Puppies,Palmer Sling Bag,1999000,0.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Hush Puppies,Easter Chest Bag,799000,5.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Hush Puppies,Yammy Tote,1199000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Hush Puppies,Qiunton Chest Bag,1999000,5.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
Obermain,Briley Backpack,1699000,5.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
Hush Puppies,Noma Clutch,2399000,5.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Hush Puppies,Elvis Backpack,999000,4.9,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Nike,Faux Fur Backpack (11L),0,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Hush Puppies,Coreen Satchel M,1699000,5.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
Obermain,Briley Backpack,1699000,5.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
Hush Puppies,Ayla Tote L,1399000,5.0,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
Coccinelle,Dorian Puffy Smooth Medium Shoulder Bag,7664300,0.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
Obermain,Josh Backpack,3299000,5.0,/
ALDO,Dionne Shoulder Bag,1509000,5.0,https://www.zalora.co.id/categories
Obermain,Astro Backpack,3299000,0.0,https://www.zalora.co.id/cart
Hush Puppies,Eston Tote Bag,999000,4.9,https://www.zalora.co.id/wishlist
Hush Puppies,Coreen Satchel L,1799000,4.9,/customer/account/index
ALDO,Elizabelle Tote Bag,1429000,0.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
Nike,Faux Fur Backpack (11L),0,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
Obermain,Lake Backpack,0,0.0,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Smiggle,Smiggle Limitless Backpack Trolley With Light Up Wheels - IGL455358BLM,1799000,5.0,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
Smiggle,Smiggle Spider-Man Classic Backpack - IGL445075BLK - Black,0,5.0,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Coccinelle,Oliver Shoulder Bag,6619170,0.0,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
ALDO,Dionne Shoulder Bag,1509000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
ALDO,Dionne Shoulder Bag,1509000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Hush Puppies,Coreen Satchel M,1699000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
Obermain,Lake Backpack,0,0.0,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Nike,Older Kids' Backpack (25L),0,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Hush Puppies,Ayla Tote L,1399000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
ADIDAS,Originals X Andrã© Saraiva Shopper Bag,900000,0.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Obermain,Brad Backpack - L,4699000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
agnès b.,Leather Top-Handle Bag,6989000,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Coccinelle,Boheme Grana Double Shoulder Bag,10421000,0.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
TORY BURCH,Emerson Tote Bag (bb),11619000,0.0,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Hush Puppies,Ayla Tote M,1299000,5.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
ALDO,Elizabelle Tote Bag,1429000,0.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
TORY BURCH,Britten Small Satchel Bag (bb),15979000,0.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
ALDO,Riiri Tote Bag,1219000,5.0,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
VERSACE JEANS COUTURE,Stud Quilted Sling Bag (nt),4549000,0.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Smith Messenger Bag,799000,4.9,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Coccinelle,Liya Medium Top-Handle Bag,7664300,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Steven Messenger Bag,799000,0.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
Nike,Elemental Kids' Backpack (20L),0,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Hush Puppies,Phillip Chest Bag,2399000,5.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Coccinelle,Beat Soft Medium Top-Handle Bag,8236000,0.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
ADIDAS,MINI DUFFLE BAG,0,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
TORY BURCH,Kira Chevron Small Shoulder Bag (nt),15769000,0.0,https://www.zalora.co.id/p/adidas-backpack-black-4493742
agnès b.,Leather Top-Handle Bag,5819000,0.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
Coccinelle,Arlettis Signature Small Top-Handle Bag,6096600,0.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
BOSS,Double B Monogram Twill Belt Bag - BOSS Business,3489000,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Hush Puppies,Mindee Shoulder,999000,4.9,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Coccinelle,Kelsey Zip-Around Wallet,2612830,0.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
Hush Puppies,Delfina Satchel L,1399000,5.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
Under Armour,UA Undeniable 5.0 Duffle SM Bag,809000,4.9,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
ADIDAS,4ATHLTS Organizer,480000,4.8,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
Obermain,Jarod Sling Bag-L,3299000,5.0,/
ALDO,Comarid Tote Bag,1869000,0.0,https://www.zalora.co.id/categories
ALDO,Yadode Quilted Crossbody Bag,1129000,5.0,https://www.zalora.co.id/cart
Smiggle,Smiggle Beta Trolley Backpack With Light Up Wheels - IGL455787NAV,1799000,5.0,https://www.zalora.co.id/wishlist
Smiggle,Smiggle Sonic The Hedgehog Classic Backpack - IGL456000CBL,1399000,0.0,/customer/account/index
Coccinelle,Beat Soft Ribbon Small Crossbody Bag,7479000,5.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
Coccinelle,Liya Medium Top-Handle Bag,7664300,5.0,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
ADIDAS,4ATHLTS Organizer,480000,4.8,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Hush Puppies,Michael Sling Bag,1999000,0.0,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
ADIDAS,Essentials Training Shoulder Bag,0,4.7,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Hush Puppies,Elan Messenger Bag,799000,4.9,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
Hush Puppies,Maui Chest Bag,2399000,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
Hush Puppies,Mindee Shoulder,999000,4.9,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
Obermain,Briley Backpack,1699000,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
Hush Puppies,Owen Chest Bag,1999000,0.0,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Hush Puppies,Margot Tote L,1399000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Hush Puppies,Patty Tote (M),1299000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
ALDO,Contedennon Crossbody Bag,1259000,0.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
ALDO,Harmonie Tote Bag,1389000,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Obermain,Joel 3 Waist Bag,1399000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Hush Puppies,Floppy Satchel M,1199000,5.0,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Floppy Satchel M,1199000,5.0,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Hush Puppies,Jacksey Top Handle,1299000,5.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Hush Puppies,Somerton Chest Bag,799000,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
ADIDAS,Essentials Two-In-One Backpack,0,0.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Coccinelle,Cheek Smooth Small Clutch Bag,5051470,0.0,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
ALDO,Meilani Crossbody Bag,1019000,5.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Princeton Clutch,2399000,0.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
ALDO,Coan Crossbody Bag,1209000,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Mathie Tote M,1299000,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
Hush Puppies,Owen Chest Bag,1999000,5.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Hush Puppies,Pimmy Sling M,999000,4.9,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Obermain,Aurora Canvas Sling Bag S,699000,5.0,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Hush Puppies,Floppy Satchel L,1299000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Hush Puppies,Oline Tote,1199000,4.5,https://www.zalora.co.id/p/adidas-backpack-black-4493742
ADIDAS,MINI AIRLINER,0,0.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
Hush Puppies,Fisher Tote M,1699000,5.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Hush Puppies,Miel Sling,799000,4.8,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
agnès b.,2-Way Leather Bucket Bag,5129000,0.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Under Armour,Undeniable 5.0 XXS Duffle Bag,499000,5.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
ALDO,Tigerrqueen Crossbody Bag,1129000,5.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
