Merk,Nama_Produk,Harga,Ratings,URL
ADIDAS,Adicolor Backpack,0,0.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
ADIDAS,Glow Backpack,600000,0.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
Nike,Aura Crossbody Bag (2L),0,4.9,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
ADIDAS,Adicolor Classic Festival Bag,0,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
Hush Puppies,Rica Backpack L,1399000,5.0,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Hush Puppies,Qiunton Backpack,3599000,0.0,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Hush Puppies,Stephon Backpack,999000,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Hush Puppies,Ryla Tote (L),0,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
Nike,Heritage Drawstring Bag,0,4.9,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Nike,Elemental Premium Fanny Pack (8L),0,4.5,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Nike,Elemental Premium Duffel Bag (45L),0,0.0,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
Nike,Women's Gym Club Duffel Bag (24L),0,5.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Nike,"Heritage Retro Fanny Pack (Small, 1L)",0,4.9,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Obermain,Jacob Backpack-L,4699000,5.0,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
ADIDAS,Essentials 3-Stripes Small Duffel Bag,0,5.0,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
Hush Puppies,Stephon Backpack,999000,0.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
Nike,Elemental Backpack (21L),0,5.0,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Ryla Tote (L),0,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
ADIDAS,Waist Bag,0,0.0,https://www.zalora.co.id/p/aldo-marky-backpack-brown-4397103
Nike,Heritage Swoosh Backpack,0,0.0,https://www.zalora.co.id/p/nike-heritage-backpack-25l-green-4673844
Nike,Heritage Waistpack,0,4.9,https://www.zalora.co.id/p/adidas-ep-syst-team-duffel-bag-35l-black-4493593
Nike,Elemental Premium Crossbody Bag (4L),0,4.9,https://www.zalora.co.id/p/nike-sportswear-futura-365-women-s-mini-backpack-6l-brown-4673942
Hush Puppies,Elvis Backpack,999000,4.9,https://www.zalora.co.id/p/adidas-backpack-black-4493742
ADIDAS,City Explorer Small Bag,0,5.0,https://www.zalora.co.id/p/hush-puppies-tegan-backpack-black-4326083
ADIDAS,Endurance Packing System Waist Bag,500000,5.0,https://www.zalora.co.id/p/adidas-city-explorer-backpack-black-4719968
Nike,Elemental Premium Crossbody Bag (4L),0,4.9,https://www.zalora.co.id/p/nike-sportswear-futura-luxe-women-s-cross-body-bag-1l-green-4473103
Smiggle,Smiggle Beta Trolley Backpack With Light Up Wheels - IGL455787NAV,1799000,5.0,https://www.zalora.co.id/p/nike-sportswear-futura-365-faux-fur-crossbody-bag-1l-black-4674501
Smiggle,Smiggle Sonic The Hedgehog Classic Backpack - IGL456000CBL,1399000,0.0,https://www.zalora.co.id/p/adidas-pu-outline-trefoil-shoulder-bag-black-4493541
ADIDAS,4ATHLTS Small Duffel Bag,0,5.0,https://www.zalora.co.id/p/adidas-hybrid-waist-bag-grey-4776884
ADIDAS,Endurance Packing System Waist Bag,500000,5.0,https://www.zalora.co.id/p/adidas-vrst-backpack-black-4493861
Nike,Heritage Swoosh Backpack,0,0.0,https://www.zalora.co.id/p/adidas-classic-back-to-school-3-stripes-backpack-blue-4776883
Nike,Heritage Waistpack,0,4.9,/
Nike,Faux Fur Crossbody Bag,0,5.0,https://www.zalora.co.id/categories
Nike,"Heritage Crossbody Bag (Small, 1L)",369000,5.0,https://www.zalora.co.id/cart
ADIDAS,Adicolor Classic Round Bag,0,0.0,https://www.zalora.co.id/wishlist
Hush Puppies,Elvis Backpack,999000,4.9,/customer/account/index
ADIDAS,Small Adicolor Classic Backpack,0,5.0,https://www.zalora.co.id/p/smiggle-smiggle-limitless-backpack-trolley-with-light-up-wheels-igl455358blm-black-4582281
ADIDAS,Adicolor Backpack,600000,4.8,https://www.zalora.co.id/p/smiggle-smiggle-spider-man-classic-backpack-igl445075blk-black-black-4264002
Nike,Brasilia 9.5 Training Backpack (Medium),0,5.0,https://www.zalora.co.id/p/adidas-4athlts-duffel-bag-small-black-3188009
Hush Puppies,Rica Backpack L,1399000,4.9,https://www.zalora.co.id/p/adidas-adicolor-sacoche-bag-black-4149175
Nike,Sportswear Futura Faux Fur Mini Backpack (6L),0,5.0,https://www.zalora.co.id/p/adidas-classic-badge-of-sport-3-stripes-backpack-black-3552197
Nike,Heritage Backpack,0,4.9,https://www.zalora.co.id/p/converse-go-2-backpack-purple-4682567
ADIDAS,Classic Gen Z Backpack Extra Small,0,5.0,https://www.zalora.co.id/p/converse-go-2-backpack-black-4435706
ADIDAS,Small Airliner Bag,0,5.0,https://www.zalora.co.id/p/converse-straight-edge-backpack-black-4418100
ADIDAS,Adicolor Backpack,600000,4.9,https://www.zalora.co.id/p/converse-straight-edge-backpack-grey-4682563
ADIDAS,Premium Essentials Dad Cap,0,4.9,https://www.zalora.co.id/p/adidas-mini-airliner-bag-silver-4776890
Hush Puppies,Parker Chest Bag,2399000,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-purple-4681360
ADIDAS,Premium Essentials Waist Bag,0,4.8,https://www.zalora.co.id/p/converse-go-lo-backpack-purple-4681357
Hush Puppies,Elvis Backpack,999000,4.8,https://www.zalora.co.id/p/converse-go-lo-backpack-grey-4681361
Nike,Elemental Premium Duffel Bag (45L),0,0.0,https://www.zalora.co.id/p/converse-speed-3-backpack-beige-4681356
Nike,Brasilia 9.5 Training Gym Sack (18L),0,5.0,https://www.zalora.co.id/p/converse-speed-3-backpack-grey-4681358
ADIDAS,Asymmetrical Front Zipper Backpack,0,4.8,https://www.zalora.co.id/p/nike-older-kids-backpack-25l-red-4674503
Hush Puppies,Rica Backpack M,1299000,5.0,https://www.zalora.co.id/p/hush-puppies-peppy-backpack-pink-4382477
Hush Puppies,Abril Tote L,1399000,4.9,https://www.zalora.co.id/p/converse-wrinkle-backpack-navy-4760787
ADIDAS,Adicolor Classic Waist Bag,0,3.0,https://www.zalora.co.id/p/under-armour-gametime-duffle-s-bag-black-3851685
Hush Puppies,Maria Backpack,1999000,5.0,https://www.zalora.co.id/p/under-armour-undeniable-5-0-medium-duffle-bag-navy-3155215
Hush Puppies,Rica Backpack M,1299000,4.9,https://www.zalora.co.id/p/adidas-classic-seasonal-backpack-black-4719959
ADIDAS,Adicolor Classic Shopper Bag,0,4.4,https://www.zalora.co.id/p/adidas-must-haves-shoulder-bag-black-4776860
ADIDAS,Adicolor Archive Waist Bag,500000,5.0,https://www.zalora.co.id/p/converse-winterized-go-lo-backpack-black-4681362
ADIDAS,Power Backpack,0,4.9,https://www.zalora.co.id/p/hush-puppies-sage-backpack-navy-4687676
Hush Puppies,Mathie Tote L,1399000,5.0,https://www.zalora.co.id/p/aldo-kaptai-backpack-black-4399773
